subject-id,DSC,ASD,HD95,NSD,model,anatomy
s1120_rib_msk,0.6,0.63,7.87,0.57,SwinUNETR,rib
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.7,1.51,5.39,0.48,OneDConcat,vertebra
s0581_hip_msk,0.9,0.57,1.73,0.68,SwinUNETR,hip
s1120_rib_msk,0.33,1.52,6.48,0.34,TLPredictor,rib
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.71,1.32,5.74,0.54,SwinUNETR,vertebra
s0174_femur_left_msk,0.84,2.31,5.0,0.45,OneDConcat,femur
s1120_rib_msk,0.6,0.75,2.45,0.61,TwoDPermuteConcat,rib
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.74,1.05,11.53,0.52,MultiScale2DPermuteConcat,vertebra
s0174_femur_left_msk,0.92,1.08,3.0,0.79,MultiScale2DPermuteConcat,femur
s0581_hip_msk,0.88,0.64,2.24,0.59,MultiScale2DPermuteConcat,hip
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.76,1.02,4.12,0.61,TwoDPermuteConcat,vertebra
s0869_rib_msk,0.59,0.84,3.0,0.54,TwoDPermuteConcat,rib
s1373_hip_msk,0.84,0.94,3.0,0.44,TLPredictor,hip
s0174_femur_right_msk,0.92,1.01,2.83,0.82,UNETR,femur
s0869_rib_msk,0.59,0.7,7.21,0.51,SwinUNETR,rib
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.7,1.39,6.16,0.52,AttentionUnet,vertebra
s0174_femur_right_msk,0.9,1.24,3.61,0.76,TwoDPermuteConcat,femur
s1373_hip_msk,0.87,0.73,2.83,0.52,UNETR,hip
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.64,1.59,6.71,0.4,OneDConcat,vertebra
s0174_femur_right_msk,0.83,2.29,5.1,0.44,OneDConcat,femur
s0869_rib_msk,0.6,0.74,3.74,0.56,AttentionUnet,rib
s1373_hip_msk,0.87,0.69,2.24,0.57,AttentionUnet,hip
s1373_hip_msk,0.87,0.74,2.83,0.53,MultiScale2DPermuteConcat,hip
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.68,1.26,7.21,0.45,UNet,vertebra
s0869_rib_msk,0.57,0.86,7.55,0.53,MultiScale2DPermuteConcat,rib
s0174_femur_right_msk,0.91,1.1,3.61,0.77,SwinUNETR,femur
s0174_femur_right_msk,0.92,0.98,2.83,0.82,AttentionUnet,femur
s0869_rib_msk,0.39,1.34,5.39,0.35,TLPredictor,rib
s1373_hip_msk,0.85,0.81,2.83,0.48,OneDConcat,hip
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.64,1.38,8.06,0.48,UNETR,vertebra
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.69,1.43,5.83,0.46,TLPredictor,vertebra
s0174_femur_right_msk,0.83,2.2,5.48,0.44,TLPredictor,femur
s0869_rib_msk,0.47,1.13,5.83,0.43,UNETR,rib
s1373_hip_msk,0.87,0.8,3.0,0.5,UNet,hip
s0174_femur_right_msk,0.92,1.61,3.0,0.81,UNet,femur
s1373_hip_msk,0.89,0.65,2.24,0.6,SwinUNETR,hip
s0869_rib_msk,0.33,1.65,14.45,0.33,OneDConcat,rib
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.7,1.26,4.58,0.51,MultiScale2DPermuteConcat,vertebra
s0869_rib_msk,0.58,0.85,3.0,0.54,UNet,rib
s1373_hip_msk,0.87,0.71,2.24,0.54,TwoDPermuteConcat,hip
s0174_femur_right_msk,0.89,1.75,5.83,0.7,MultiScale2DPermuteConcat,femur
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.64,1.35,7.07,0.48,SwinUNETR,vertebra
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.73,1.04,5.48,0.53,MultiScale2DPermuteConcat,vertebra
s0394_rib_msk,0.46,1.09,9.95,0.39,MultiScale2DPermuteConcat,rib
s1149_femur_left_msk,0.93,1.0,3.0,0.81,TwoDPermuteConcat,femur
s1005_hip_msk,0.82,0.98,4.0,0.44,TwoDPermuteConcat,hip
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.69,1.15,6.56,0.45,UNet,vertebra
s0394_rib_msk,0.32,1.63,16.64,0.29,OneDConcat,rib
s1005_hip_msk,0.82,0.97,3.74,0.41,UNETR,hip
s1149_femur_left_msk,0.89,1.57,5.1,0.6,TLPredictor,femur
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.64,1.37,7.81,0.37,TLPredictor,vertebra
s0394_rib_msk,0.52,0.88,8.31,0.44,UNet,rib
s1005_hip_msk,0.68,1.61,4.89,0.22,OneDConcat,hip
s1149_femur_left_msk,0.9,1.37,5.39,0.71,UNETR,femur
s0394_rib_msk,0.2,1.96,9.64,0.22,TLPredictor,rib
s1005_hip_msk,0.85,0.86,3.16,0.51,SwinUNETR,hip
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.78,0.92,4.15,0.62,TwoDPermuteConcat,vertebra
s1149_femur_left_msk,0.92,1.27,3.74,0.75,MultiScale2DPermuteConcat,femur
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.69,1.2,7.07,0.44,OneDConcat,vertebra
s0394_rib_msk,0.46,1.11,6.0,0.4,TwoDPermuteConcat,rib
s1149_femur_left_msk,0.91,1.25,5.0,0.75,SwinUNETR,femur
s1005_hip_msk,0.77,1.42,4.69,0.3,TLPredictor,hip
s1149_femur_left_msk,0.92,1.1,4.0,0.77,UNet,femur
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.67,1.1,6.4,0.54,SwinUNETR,vertebra
s0394_rib_msk,0.46,0.92,8.77,0.37,SwinUNETR,rib
s1005_hip_msk,0.83,1.0,3.0,0.46,AttentionUnet,hip
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.68,1.16,6.16,0.51,UNETR,vertebra
s0394_rib_msk,0.41,1.2,8.37,0.37,UNETR,rib
s1005_hip_msk,0.82,1.12,3.61,0.4,MultiScale2DPermuteConcat,hip
s1149_femur_left_msk,0.92,1.04,4.58,0.8,AttentionUnet,femur
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.67,1.16,7.28,0.46,AttentionUnet,vertebra
s0394_rib_msk,0.52,0.76,4.58,0.46,AttentionUnet,rib
s1149_femur_left_msk,0.86,2.1,6.15,0.49,OneDConcat,femur
s1005_hip_msk,0.82,1.07,4.36,0.44,UNet,hip
s0461_rib_msk,0.48,1.06,3.0,0.48,UNet,rib
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.6,1.43,7.16,0.34,MultiScale2DPermuteConcat,vertebra
s1149_femur_right_msk,0.88,2.46,5.83,0.61,UNETR,femur
s0082_hip_msk,0.87,0.69,2.45,0.54,UNETR,hip
s1149_femur_right_msk,0.92,1.04,3.61,0.77,AttentionUnet,femur
s0461_rib_msk,0.25,1.94,14.87,0.29,OneDConcat,rib
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.65,1.63,5.48,0.46,SwinUNETR,vertebra
s0082_hip_msk,0.8,0.98,3.0,0.39,OneDConcat,hip
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.62,1.66,6.4,0.35,TLPredictor,vertebra
s0082_hip_msk,0.86,0.72,2.24,0.52,TwoDPermuteConcat,hip
s0461_rib_msk,0.58,0.79,3.61,0.55,SwinUNETR,rib
s1149_femur_right_msk,0.88,1.78,5.83,0.57,MultiScale2DPermuteConcat,femur
s0082_hip_msk,0.89,0.6,1.73,0.63,SwinUNETR,hip
s1149_femur_right_msk,0.87,1.83,5.66,0.51,TLPredictor,femur
s0461_rib_msk,0.49,1.04,2.83,0.49,TwoDPermuteConcat,rib
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.67,1.42,4.69,0.5,UNETR,vertebra
s0082_hip_msk,0.89,0.65,2.24,0.58,UNet,hip
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.7,1.32,4.39,0.48,TwoDPermuteConcat,vertebra
s0461_rib_msk,0.45,1.25,3.74,0.45,UNETR,rib
s1149_femur_right_msk,0.9,2.9,25.5,0.73,UNet,femur
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.6,1.88,5.83,0.38,OneDConcat,vertebra
s0082_hip_msk,0.87,0.72,2.24,0.53,MultiScale2DPermuteConcat,hip
s0461_rib_msk,0.47,1.07,4.12,0.49,MultiScale2DPermuteConcat,rib
s1149_femur_right_msk,0.85,2.26,6.16,0.45,OneDConcat,femur
s0082_hip_msk,0.88,0.65,1.73,0.58,AttentionUnet,hip
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.63,1.46,6.4,0.38,UNet,vertebra
s1149_femur_right_msk,0.9,1.44,4.12,0.67,SwinUNETR,femur
s0461_rib_msk,0.54,0.8,2.45,0.53,AttentionUnet,rib
s0461_rib_msk,0.28,1.78,5.0,0.32,TLPredictor,rib
s0082_hip_msk,0.83,0.9,3.0,0.41,TLPredictor,hip
s1149_femur_right_msk,0.91,1.17,4.0,0.71,TwoDPermuteConcat,femur
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.63,1.53,5.83,0.4,AttentionUnet,vertebra
s0669_rib_msk,0.51,1.05,3.61,0.53,AttentionUnet,rib
s0963_hip_msk,0.72,1.47,4.12,0.27,TwoDPermuteConcat,hip
s0768_femur_left_msk,0.93,0.92,2.45,0.86,MultiScale2DPermuteConcat,femur
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.8,0.92,3.61,0.65,TwoDPermuteConcat,vertebra
s0963_hip_msk,0.75,1.3,4.12,0.35,MultiScale2DPermuteConcat,hip
s0768_femur_left_msk,0.93,0.85,2.83,0.84,TwoDPermuteConcat,femur
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.77,1.01,5.1,0.56,UNet,vertebra
s0669_rib_msk,0.47,1.13,3.16,0.5,TwoDPermuteConcat,rib
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.69,1.13,7.07,0.42,MultiScale2DPermuteConcat,vertebra
s0669_rib_msk,0.43,1.31,5.1,0.45,UNETR,rib
s0768_femur_left_msk,0.93,0.87,2.45,0.86,SwinUNETR,femur
s0963_hip_msk,0.75,1.41,4.12,0.32,UNet,hip
s0768_femur_left_msk,0.9,1.38,3.61,0.68,TLPredictor,femur
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.74,1.13,4.47,0.51,AttentionUnet,vertebra
s0963_hip_msk,0.69,1.8,5.0,0.26,OneDConcat,hip
s0669_rib_msk,0.54,0.97,6.71,0.5,SwinUNETR,rib
s0768_femur_left_msk,0.94,0.8,2.83,0.85,UNet,femur
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.74,1.33,5.0,0.51,TLPredictor,vertebra
s0669_rib_msk,0.5,1.06,3.16,0.52,UNet,rib
s0963_hip_msk,0.71,1.65,5.0,0.29,UNETR,hip
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.77,1.21,4.24,0.57,OneDConcat,vertebra
s0669_rib_msk,0.3,1.69,4.58,0.33,TLPredictor,rib
s0768_femur_left_msk,0.91,1.25,3.32,0.77,UNETR,femur
s0963_hip_msk,0.79,1.51,4.24,0.44,SwinUNETR,hip
s0963_hip_msk,0.78,1.14,4.0,0.36,AttentionUnet,hip
s0768_femur_left_msk,0.93,0.98,3.0,0.85,AttentionUnet,femur
s0669_rib_msk,0.44,1.3,5.74,0.45,MultiScale2DPermuteConcat,rib
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.73,1.3,5.0,0.55,UNETR,vertebra
s0963_hip_msk,0.65,2.0,5.83,0.25,TLPredictor,hip
s0768_femur_left_msk,0.86,1.87,4.9,0.51,OneDConcat,femur
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.77,1.13,4.47,0.61,SwinUNETR,vertebra
s0669_rib_msk,0.31,1.65,16.25,0.33,OneDConcat,rib
s0775_rib_msk,0.27,1.72,10.45,0.3,OneDConcat,rib
s0399_hip_msk,0.78,0.96,4.24,0.4,TwoDPermuteConcat,hip
s0768_femur_right_msk,0.9,1.29,3.74,0.71,OneDConcat,femur
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.83,0.61,2.0,0.89,TwoDPermuteConcat,vertebra
s0768_femur_right_msk,0.94,0.75,2.83,0.88,TwoDPermuteConcat,femur
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.79,0.69,2.83,0.8,MultiScale2DPermuteConcat,vertebra
s0775_rib_msk,0.6,0.91,2.45,0.57,UNet,rib
s0399_hip_msk,0.73,1.24,5.2,0.32,OneDConcat,hip
s0768_femur_right_msk,0.95,0.72,2.24,0.9,SwinUNETR,femur
s0775_rib_msk,0.55,0.96,3.0,0.54,MultiScale2DPermuteConcat,rib
s0399_hip_msk,0.72,1.35,4.69,0.3,TLPredictor,hip
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.84,0.58,1.73,0.91,AttentionUnet,vertebra
s0775_rib_msk,0.5,1.1,3.16,0.46,UNETR,rib
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.84,0.52,2.0,0.9,UNETR,vertebra
s0399_hip_msk,0.75,1.02,4.36,0.38,AttentionUnet,hip
s0768_femur_right_msk,0.92,1.09,3.46,0.79,UNETR,femur
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.83,0.62,2.24,0.87,OneDConcat,vertebra
s0768_femur_right_msk,0.94,0.84,2.83,0.87,MultiScale2DPermuteConcat,femur
s0775_rib_msk,0.6,0.77,2.24,0.56,AttentionUnet,rib
s0399_hip_msk,0.78,1.11,3.61,0.38,UNet,hip
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.82,0.74,1.73,0.89,UNet,vertebra
s0768_femur_right_msk,0.95,0.7,2.24,0.9,AttentionUnet,femur
s0775_rib_msk,0.27,1.82,4.24,0.32,TLPredictor,rib
s0399_hip_msk,0.76,1.2,4.24,0.35,UNETR,hip
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.78,0.86,2.45,0.78,TLPredictor,vertebra
s0775_rib_msk,0.64,0.91,2.83,0.61,TwoDPermuteConcat,rib
s0768_femur_right_msk,0.92,1.12,3.16,0.78,TLPredictor,femur
s0399_hip_msk,0.78,1.01,4.0,0.43,SwinUNETR,hip
s0768_femur_right_msk,0.94,1.38,2.45,0.87,UNet,femur
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.85,0.55,1.73,0.92,SwinUNETR,vertebra
s0399_hip_msk,0.79,1.03,3.74,0.41,MultiScale2DPermuteConcat,hip
s0775_rib_msk,0.59,0.79,2.45,0.54,SwinUNETR,rib
s1276_femur_left_msk,0.95,0.74,2.24,0.9,MultiScale2DPermuteConcat,femur
s0385_hip_msk,0.72,1.42,4.24,0.28,MultiScale2DPermuteConcat,hip
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.8,0.78,2.24,0.83,OneDConcat,vertebra
s0698_rib_msk,0.25,2.01,8.06,0.26,TLPredictor,rib
s0698_rib_msk,0.49,1.13,3.61,0.49,TwoDPermuteConcat,rib
s1276_femur_left_msk,0.93,0.94,2.83,0.82,OneDConcat,femur
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.78,0.91,2.24,0.79,TLPredictor,vertebra
s0385_hip_msk,0.8,1.01,3.32,0.39,AttentionUnet,hip
s0698_rib_msk,0.43,1.06,4.12,0.43,AttentionUnet,rib
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.83,0.62,2.41,0.88,AttentionUnet,vertebra
s1276_femur_left_msk,0.93,0.99,2.83,0.84,TLPredictor,femur
s0385_hip_msk,0.56,2.45,8.25,0.18,OneDConcat,hip
s0698_rib_msk,0.34,1.6,5.1,0.34,UNet,rib
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.86,0.55,1.95,0.92,UNETR,vertebra
s1276_femur_left_msk,0.95,0.67,2.24,0.93,TwoDPermuteConcat,femur
s0385_hip_msk,0.72,1.45,4.69,0.28,UNETR,hip
s1276_femur_left_msk,0.94,0.76,2.83,0.87,SwinUNETR,femur
s0698_rib_msk,0.27,1.81,19.95,0.24,OneDConcat,rib
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.84,0.69,2.45,0.89,SwinUNETR,vertebra
s0385_hip_msk,0.79,1.19,3.74,0.34,UNet,hip
s1276_femur_left_msk,0.93,0.86,2.83,0.86,UNETR,femur
s0385_hip_msk,0.81,1.2,3.61,0.42,SwinUNETR,hip
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.79,0.7,3.71,0.78,MultiScale2DPermuteConcat,vertebra
s0698_rib_msk,0.45,1.19,5.74,0.44,MultiScale2DPermuteConcat,rib
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.82,0.68,2.45,0.86,TwoDPermuteConcat,vertebra
s0698_rib_msk,0.31,1.74,7.87,0.31,UNETR,rib
s1276_femur_left_msk,0.95,0.67,2.24,0.93,AttentionUnet,femur
s0385_hip_msk,0.77,1.27,3.61,0.33,TwoDPermuteConcat,hip
s0385_hip_msk,0.62,2.21,6.93,0.22,TLPredictor,hip
s0698_rib_msk,0.39,1.31,5.74,0.36,SwinUNETR,rib
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.82,0.72,2.0,0.87,UNet,vertebra
s1276_femur_left_msk,0.94,0.72,2.24,0.93,UNet,femur
s0626_hip_msk,0.81,0.88,2.83,0.46,AttentionUnet,hip
s0191_rib_msk,0.13,6.79,24.26,0.22,TLPredictor,rib
sub-verse073_vert-20-seg-vert_msk,0.86,0.67,2.0,0.88,OneDConcat,vertebra
s1276_femur_right_msk,0.94,0.76,2.24,0.89,MultiScale2DPermuteConcat,femur
s0191_rib_msk,0.28,1.63,10.05,0.27,MultiScale2DPermuteConcat,rib
s0626_hip_msk,0.82,0.84,2.45,0.46,TwoDPermuteConcat,hip
sub-verse073_vert-20-seg-vert_msk,0.88,0.62,1.73,0.91,UNETR,vertebra
s1276_femur_right_msk,0.93,0.88,2.45,0.86,OneDConcat,femur
s0191_rib_msk,0.39,0.82,8.19,0.33,SwinUNETR,rib
s0626_hip_msk,0.85,0.86,2.24,0.55,SwinUNETR,hip
s1276_femur_right_msk,0.94,0.73,2.24,0.89,SwinUNETR,femur
sub-verse073_vert-20-seg-vert_msk,0.83,0.85,2.45,0.8,TLPredictor,vertebra
s0191_rib_msk,0.33,2.86,15.34,0.34,UNETR,rib
s0626_hip_msk,0.81,0.91,3.16,0.43,UNETR,hip
s1276_femur_right_msk,0.95,0.68,2.24,0.93,AttentionUnet,femur
sub-verse073_vert-20-seg-vert_msk,0.85,0.79,2.0,0.89,MultiScale2DPermuteConcat,vertebra
sub-verse073_vert-20-seg-vert_msk,0.85,0.8,2.24,0.86,UNet,vertebra
s0626_hip_msk,0.75,1.13,3.32,0.33,OneDConcat,hip
s0191_rib_msk,0.0,20.73,36.66,0.02,OneDConcat,rib
s1276_femur_right_msk,0.94,0.74,2.24,0.9,UNet,femur
sub-verse073_vert-20-seg-vert_msk,0.87,0.7,2.0,0.91,AttentionUnet,vertebra
s0626_hip_msk,0.78,1.1,3.46,0.36,TLPredictor,hip
s0191_rib_msk,0.45,0.86,7.81,0.41,AttentionUnet,rib
s1276_femur_right_msk,0.93,0.96,2.83,0.85,TLPredictor,femur
s0626_hip_msk,0.82,0.86,2.83,0.45,MultiScale2DPermuteConcat,hip
s0191_rib_msk,0.3,2.94,10.72,0.3,UNet,rib
sub-verse073_vert-20-seg-vert_msk,0.88,0.63,1.73,0.92,SwinUNETR,vertebra
s1276_femur_right_msk,0.95,0.67,2.24,0.93,TwoDPermuteConcat,femur
s0191_rib_msk,0.41,1.11,5.0,0.37,TwoDPermuteConcat,rib
s1276_femur_right_msk,0.94,0.75,2.45,0.89,UNETR,femur
sub-verse073_vert-20-seg-vert_msk,0.86,0.77,2.0,0.89,TwoDPermuteConcat,vertebra
s0626_hip_msk,0.82,0.92,3.32,0.44,UNet,hip
s1339_hip_msk,0.79,1.0,3.46,0.38,TLPredictor,hip
s0072_femur_left_msk,0.82,2.25,7.28,0.4,OneDConcat,femur
sub-verse073_vert-21-seg-vert_msk,0.84,0.85,2.24,0.83,OneDConcat,vertebra
s0880_rib_msk,0.53,1.29,3.16,0.54,UNet,rib
s1339_hip_msk,0.8,1.08,3.0,0.4,OneDConcat,hip
s0072_femur_left_msk,0.9,1.27,5.74,0.68,MultiScale2DPermuteConcat,femur
sub-verse073_vert-21-seg-vert_msk,0.9,0.52,1.41,0.94,AttentionUnet,vertebra
s0880_rib_msk,0.45,1.33,5.0,0.47,TwoDPermuteConcat,rib
sub-verse073_vert-21-seg-vert_msk,0.82,0.89,2.83,0.77,TLPredictor,vertebra
s0072_femur_left_msk,0.92,0.82,5.1,0.79,UNet,femur
s0880_rib_msk,0.55,0.95,4.58,0.53,SwinUNETR,rib
s1339_hip_msk,0.86,0.68,2.83,0.55,UNETR,hip
s0880_rib_msk,0.41,1.42,9.0,0.39,UNETR,rib
sub-verse073_vert-21-seg-vert_msk,0.88,0.61,1.73,0.92,SwinUNETR,vertebra
s1339_hip_msk,0.89,0.69,2.0,0.64,SwinUNETR,hip
s0072_femur_left_msk,0.91,1.0,5.1,0.76,AttentionUnet,femur
sub-verse073_vert-21-seg-vert_msk,0.88,0.6,1.73,0.92,TwoDPermuteConcat,vertebra
s1339_hip_msk,0.87,0.62,2.0,0.6,AttentionUnet,hip
s0072_femur_left_msk,0.91,0.97,7.0,0.74,SwinUNETR,femur
s0880_rib_msk,0.51,0.95,3.32,0.53,AttentionUnet,rib
s0880_rib_msk,0.27,1.75,16.79,0.29,OneDConcat,rib
s0072_femur_left_msk,0.91,1.02,5.0,0.75,TwoDPermuteConcat,femur
sub-verse073_vert-21-seg-vert_msk,0.88,0.62,2.0,0.9,UNETR,vertebra
s1339_hip_msk,0.86,0.75,2.45,0.52,UNet,hip
s0880_rib_msk,0.3,2.0,7.07,0.3,TLPredictor,rib
s1339_hip_msk,0.84,0.83,2.24,0.5,TwoDPermuteConcat,hip
s0072_femur_left_msk,0.9,1.1,7.21,0.72,UNETR,femur
sub-verse073_vert-21-seg-vert_msk,0.87,0.69,2.0,0.9,UNet,vertebra
s0880_rib_msk,0.38,1.49,7.28,0.41,MultiScale2DPermuteConcat,rib
s0072_femur_left_msk,0.85,1.86,8.06,0.5,TLPredictor,femur
s1339_hip_msk,0.86,0.7,2.24,0.56,MultiScale2DPermuteConcat,hip
sub-verse073_vert-21-seg-vert_msk,0.87,0.62,2.24,0.88,MultiScale2DPermuteConcat,vertebra
sub-verse073_vert-22-seg-vert_msk,0.86,0.76,2.24,0.87,MultiScale2DPermuteConcat,vertebra
s1228_rib_msk,0.51,0.95,5.2,0.5,SwinUNETR,rib
s0072_femur_right_msk,0.87,1.61,5.74,0.6,MultiScale2DPermuteConcat,femur
s0383_hip_msk,0.82,0.89,2.83,0.44,OneDConcat,hip
sub-verse073_vert-22-seg-vert_msk,0.87,0.66,2.0,0.88,TwoDPermuteConcat,vertebra
s0072_femur_right_msk,0.89,1.22,9.27,0.67,UNETR,femur
s0383_hip_msk,0.86,0.7,2.24,0.54,AttentionUnet,hip
s1228_rib_msk,0.41,1.36,3.61,0.46,UNet,rib
sub-verse073_vert-22-seg-vert_msk,0.83,0.84,3.0,0.81,UNETR,vertebra
s0072_femur_right_msk,0.92,0.88,5.48,0.78,UNet,femur
s1228_rib_msk,0.48,0.96,3.16,0.52,AttentionUnet,rib
s0383_hip_msk,0.87,0.71,2.24,0.56,SwinUNETR,hip
s1228_rib_msk,0.32,1.61,5.1,0.37,UNETR,rib
sub-verse073_vert-22-seg-vert_msk,0.84,0.83,2.24,0.82,OneDConcat,vertebra
s0072_femur_right_msk,0.91,0.99,7.07,0.75,SwinUNETR,femur
s0383_hip_msk,0.87,0.66,2.24,0.56,TwoDPermuteConcat,hip
sub-verse073_vert-22-seg-vert_msk,0.81,0.96,3.0,0.73,UNet,vertebra
s0383_hip_msk,0.84,0.78,3.0,0.51,MultiScale2DPermuteConcat,hip
s1228_rib_msk,0.21,1.96,19.65,0.28,OneDConcat,rib
s0072_femur_right_msk,0.81,2.45,6.78,0.39,OneDConcat,femur
s0072_femur_right_msk,0.91,1.17,4.9,0.72,AttentionUnet,femur
sub-verse073_vert-22-seg-vert_msk,0.77,1.14,3.74,0.65,TLPredictor,vertebra
s0383_hip_msk,0.79,1.09,3.61,0.34,TLPredictor,hip
s1228_rib_msk,0.44,1.28,7.07,0.47,MultiScale2DPermuteConcat,rib
s1228_rib_msk,0.5,1.07,3.0,0.52,TwoDPermuteConcat,rib
s0072_femur_right_msk,0.9,0.99,8.19,0.73,TwoDPermuteConcat,femur
sub-verse073_vert-22-seg-vert_msk,0.85,0.76,2.45,0.85,AttentionUnet,vertebra
s0383_hip_msk,0.85,0.9,2.83,0.48,UNet,hip
sub-verse073_vert-22-seg-vert_msk,0.84,0.81,3.0,0.82,SwinUNETR,vertebra
s0072_femur_right_msk,0.83,2.39,7.0,0.45,TLPredictor,femur
s1228_rib_msk,0.27,1.74,5.1,0.33,TLPredictor,rib
s0383_hip_msk,0.82,0.85,3.32,0.43,UNETR,hip
s0880_femur_left_msk,0.87,1.72,6.4,0.56,UNet,femur
sub-verse073_vert-23-seg-vert_msk,0.84,0.78,2.24,0.81,OneDConcat,vertebra
s0598_rib_msk,0.49,1.21,8.66,0.43,MultiScale2DPermuteConcat,rib
s0924_hip_msk,0.82,0.91,3.0,0.45,UNETR,hip
s0924_hip_msk,0.8,1.0,3.0,0.4,OneDConcat,hip
s0598_rib_msk,0.44,1.32,6.91,0.4,UNETR,rib
s0880_femur_left_msk,0.88,1.69,5.39,0.58,AttentionUnet,femur
sub-verse073_vert-23-seg-vert_msk,0.87,0.67,2.0,0.87,SwinUNETR,vertebra
s0598_rib_msk,0.59,0.8,5.0,0.52,SwinUNETR,rib
s0924_hip_msk,0.85,0.82,2.24,0.52,SwinUNETR,hip
sub-verse073_vert-23-seg-vert_msk,0.84,0.8,2.24,0.81,UNet,vertebra
s0880_femur_left_msk,0.87,1.96,6.48,0.57,SwinUNETR,femur
s0880_femur_left_msk,0.75,4.54,13.56,0.34,OneDConcat,femur
sub-verse073_vert-23-seg-vert_msk,0.8,1.12,3.0,0.72,TLPredictor,vertebra
s0598_rib_msk,0.57,1.0,3.74,0.52,TwoDPermuteConcat,rib
s0924_hip_msk,0.83,0.88,2.83,0.48,MultiScale2DPermuteConcat,hip
sub-verse073_vert-23-seg-vert_msk,0.84,0.85,2.24,0.82,UNETR,vertebra
s0924_hip_msk,0.85,0.78,2.24,0.52,AttentionUnet,hip
s0598_rib_msk,0.53,1.05,3.32,0.49,UNet,rib
s0880_femur_left_msk,0.87,1.95,6.16,0.49,MultiScale2DPermuteConcat,femur
s0598_rib_msk,0.56,0.86,3.16,0.52,AttentionUnet,rib
s0924_hip_msk,0.84,0.91,2.83,0.45,UNet,hip
s0880_femur_left_msk,0.83,2.86,8.12,0.48,UNETR,femur
sub-verse073_vert-23-seg-vert_msk,0.86,0.72,2.24,0.84,AttentionUnet,vertebra
s0598_rib_msk,0.31,1.84,16.31,0.28,OneDConcat,rib
sub-verse073_vert-23-seg-vert_msk,0.86,0.72,2.24,0.85,MultiScale2DPermuteConcat,vertebra
s0924_hip_msk,0.83,0.93,2.83,0.46,TwoDPermuteConcat,hip
s0880_femur_left_msk,0.83,2.48,8.06,0.43,TLPredictor,femur
s0880_femur_left_msk,0.82,2.61,8.12,0.43,TwoDPermuteConcat,femur
sub-verse073_vert-23-seg-vert_msk,0.88,0.6,2.0,0.9,TwoDPermuteConcat,vertebra
s0598_rib_msk,0.33,1.66,12.57,0.28,TLPredictor,rib
s0924_hip_msk,0.79,1.07,3.74,0.36,TLPredictor,hip
sub-verse073_vert-24-seg-vert_msk,0.85,0.75,2.24,0.82,OneDConcat,vertebra
s0880_femur_right_msk,0.95,0.78,2.83,0.87,SwinUNETR,femur
