subject-id,DSC,ASD,HD95,NSD,model,anatomy
sub-verse138_vert-18-seg-vert_msk,0.89,0.58,1.73,0.92,SwinUNETR,vertebra
s1372_rib_msk,0.58,0.66,6.67,0.53,SwinUNETR,rib
s0232_hip_msk,0.86,0.74,2.45,0.53,TwoDPermuteConcat,hip
s0592_femur_left_msk,0.94,0.82,2.45,0.87,TLPredictor,femur
sub-verse138_vert-18-seg-vert_msk,0.89,0.53,1.41,0.93,AttentionUnet,vertebra
s0232_hip_msk,0.86,0.81,2.45,0.53,SwinUNETR,hip
s0592_femur_left_msk,0.94,0.78,2.45,0.87,UNet,femur
sub-verse138_vert-18-seg-vert_msk,0.88,0.62,1.73,0.91,MultiScale2DPermuteConcat,vertebra
s1372_rib_msk,0.44,1.1,4.12,0.41,UNet,rib
s0592_femur_left_msk,0.94,0.78,2.83,0.84,UNETR,femur
s0232_hip_msk,0.86,0.72,2.24,0.52,AttentionUnet,hip
s1372_rib_msk,0.49,0.8,3.74,0.47,AttentionUnet,rib
sub-verse138_vert-18-seg-vert_msk,0.86,0.68,2.24,0.84,OneDConcat,vertebra
s0232_hip_msk,0.75,1.47,4.36,0.34,TLPredictor,hip
s1372_rib_msk,0.34,1.4,6.63,0.34,TLPredictor,rib
sub-verse138_vert-18-seg-vert_msk,0.88,0.6,2.0,0.9,UNETR,vertebra
s0592_femur_left_msk,0.93,0.93,2.83,0.82,OneDConcat,femur
s1372_rib_msk,0.34,1.42,4.69,0.35,UNETR,rib
sub-verse138_vert-18-seg-vert_msk,0.87,0.63,2.0,0.89,TwoDPermuteConcat,vertebra
s0232_hip_msk,0.85,1.01,2.83,0.49,MultiScale2DPermuteConcat,hip
s0592_femur_left_msk,0.95,0.68,2.24,0.92,AttentionUnet,femur
s0592_femur_left_msk,0.94,0.81,2.24,0.88,MultiScale2DPermuteConcat,femur
s1372_rib_msk,0.44,1.07,7.07,0.43,MultiScale2DPermuteConcat,rib
sub-verse138_vert-18-seg-vert_msk,0.88,0.6,1.73,0.9,UNet,vertebra
s0232_hip_msk,0.83,0.92,3.0,0.43,UNETR,hip
s1372_rib_msk,0.37,1.46,14.14,0.35,OneDConcat,rib
s0232_hip_msk,0.86,0.81,2.83,0.5,UNet,hip
sub-verse138_vert-18-seg-vert_msk,0.85,0.72,2.24,0.83,TLPredictor,vertebra
s0592_femur_left_msk,0.94,0.75,2.24,0.89,TwoDPermuteConcat,femur
s0592_femur_right_msk,0.94,0.74,2.24,0.9,UNet,femur
